blockNumber,gasUsed
7205569,7992452
7205570,7998932
7205571,7983913
7205572,7671642
7205573,7979504
7205574,876249
7205575,7997138
7205576,7999843
7205577,7986356
7205578,7572164
7205579,7737133
7205580,4809741
7205581,7795983
7205582,7989166
7205583,7985816
7205584,7989342
7205585,7992972
7205586,7988689
7205587,7980735
7205588,7980030
7205589,7979644
7205590,7986235
7205591,7980632
7205592,7999850
7205593,7968594
7205594,7979296
7205595,7990760
7205596,7984374
7205597,1148284
7205598,7994406
7205599,7986250
7205600,7995447
7205601,7982993
7205602,228093
7205603,7999934
7205604,7982325
7205605,7977652
7205606,7981503
7205607,7982825
7205608,7988692
7205609,7990236
7205610,7994221
7205611,6214525
7205612,3756335
7205613,7989829
7205614,7986635
7205615,36353
7205616,7992677
7205617,7994566
7205618,5690490
7205619,382778
7205620,7994459
7205621,7981232
7205622,7982143
7205623,7999507
7205624,7996675
7205625,7999344
7205626,7991251
7205627,8002672
7205628,7987374
7205629,7988231
7205630,2222629
7205631,7994595
7205632,7998569
7205633,7979130
7205634,7985422
7205635,7985470
7205636,7989617
7205637,7996646
7205638,7995225
7205639,7981821
7205640,7997425
7205641,8014571
7205642,8002089
7205643,4726494
7205644,2375530
7205645,7988409
7205646,7993534
7205647,7990481
7205648,7992786
7205649,7928856
7205650,7996578
7205651,7998039
7205652,8001272
7205653,7995424
7205654,7984302
7205655,7993713
7205656,7993942
7205657,7997078
7205658,7986577
7205659,7996926
7205660,7919143
7205661,7988774
7205662,7979971
7205663,7994221
7205664,7979105
7205665,7990489
7205666,7984611
7205667,7968895
7205668,7999250
7205669,8002042
7205670,7984378
7205671,7993717
7205672,7966901
7205673,7633550
7205674,8012689
7205675,7992797
7205676,7986577
7205677,7987918
7205678,1150120
7205679,7980242
7205680,221787
7205681,7991606
7205682,7989743
7205683,7999063
7205684,7990926
7205685,7994267
7205686,7997417
7205687,7989234
7205688,7983915
7205689,7993108
7205690,1489199
7205691,6189216
7205692,7987176
7205693,7980327
7205694,7993139
7205695,7046052
7205696,983400
7205697,7582570
7205698,7980605
7205699,7987707
7205700,7006655
7205701,2080469
